wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q2642828,Dr. Alberto Ángel FERNÁNDEZ,Alberto Fernández,male,1959-04-02T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q12969145,Presidencia de la Nación,Q2642828-cd35cf43-4f87-5a3c-8bbd-e6dd90133e8e
Q70873898,Dr. Claudio Omar MORONI,Claudio Moroni,male,1959-12-01T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q28146978,"Ministerio de Trabajo, Empleo y Seguridad Social",Q70873898-70744F0C-5C18-4636-95C0-6C8BF975B210
Q12164058,Dr. Eduardo Enrique DE PEDRO,Eduardo de Pedro,male,1976-11-11T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550461,Ministerio del Interior,Q12164058-3e2309e3-4c0f-8d9b-c2bc-97be16b0b73f
Q2844048,Dr. Gabriel Nicolás KATOPODIS,Gabriel Katopodis,male,1967-03-06T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550488,Ministerio de Obras Públicas,Q2844048-2F03B34B-36D9-426A-BC3A-1345B73008CE
Q105969717,Dr. Martín Ignacio SORIA,Martín Soria,male,1975-12-15T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q28503295,Ministerio de Justicia y Derechos Humanos,Q105969717-a87eaa51-4c0d-1afc-dbbb-633539c49b44
Q77605455,Dr. Martín Maximiliano GUZMÁN,Martín Guzmán,male,1982-10-12T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550498,Ministerio de Economía,Q77605455-9F5636E1-CCD1-48FB-9FFF-4BC1A3D51F61
Q6006648,Dr. Matías Daniel LAMMENS NÚÑEZ,Matías Lammens,male,1980-04-05T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550507,Ministerio de Turismo y Deportes,Q6006648-B2AD03C4-3FD7-4F86-B57A-A10AE9E245B5
Q30331229,Dr. Matías Sebastián KULFAS,Matías Kulfas,male,1972-04-08T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q28146983,Ministerio de Desarrollo Productivo,Q30331229-FEBA3248-F455-432E-AA51-C156DDC26D4A
Q68999413,Dr. Nicolás Alfredo TROTTA,Nicolás Trotta,male,1976-01-01T00:00:00Z,9,https://mapadelestado.jefatura.gob.ar/index.php,Q28149889,Ministerio de Educación,Q68999413-d9de28eb-4295-95fd-6083-3e554d89a7da
Q51003630,Dr. Roberto Carlos SALVAREZZA,Roberto Salvarezza,male,1952-01-30T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q78281209,"Ministerio de Ciencia, Tecnología e Innovación",Q51003630-b19d1395-4c5b-81b0-422e-7efcee5139c0
Q93147520,Dra. Carla VIZZOTTI,Carla Vizzotti,female,1972-06-01T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q28504123,Ministerio de Salud,Q93147520-67b0069d-4161-7ab2-d349-80e9f21e1e0a
Q40649,Dra. Cristina Elisabet FERNÁNDEZ DE KIRCHNER,Cristina Fernández de Kirchner,female,1953-02-19T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q2914766,Vicepresidencia de la Nación,Q40649-ef57ddee-4ce4-a79b-f832-c94aba566ce8
Q77432169,Dra. Elizabeth Victoria GÓMEZ ALCORTA,Elizabeth Gómez Alcorta,female,1972-11-18T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q78280470,"Ministerio de las Mujeres, Géneros y Diversidad",Q77432169-778448e5-41dd-8e4c-a5fb-e31d5b172e08
Q77605707,Dra. Sabina Andrea FREDERIC,Sabina Frederic,female,1965-10-13T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q41585603,Ministerio de Seguridad,Q77605707-d179d6d9-478b-b659-9684-72d7213319e9
Q1403237,Ing. Agr. Felipe Carlos SOLÁ,Felipe Solá,male,1950-07-23T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550536,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Q1403237-5EE851FB-19D8-4572-9347-FB04EA13C3DB
Q5982877,Ing. Agr. Luis Eugenio BASTERRA,Luis Basterra,male,1958-10-14T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q29582802,"Ministerio de Agricultura, Ganadería y Pesca",Q5982877-CD6D6DF0-3BD9-4078-A6C0-9A36ED69FEDB
Q5935055,Ing. Jorge Horacio FERRARESI,Jorge Ferraresi,male,1961-08-26T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550549,Ministerio de Desarrollo Territorial y Hábitat,Q5935055-1EED512F-EBB3-48D4-9EE5-BCA316755479
Q721561,Lic. Jorge Enrique TAIANA,Jorge Taiana,male,1950-05-31T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q47011795,Ministerio de Defensa,Q721561-FBAE1DC9-ED1F-48B8-9814-05D45D0B1F19
Q5948039,Lic. Juan CABANDIÉ,Juan Cabandié,male,1978-03-16T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q41153369,Ministerio de Ambiente y Desarrollo Sostenible,Q5948039-4DF05D3D-4AD9-45D4-BC68-F6CD097837CF
Q68869954,Lic. Santiago Andrés CAFIERO,Santiago Cafiero,male,1979-08-30T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q2602792,Jefatura de Gabinete de Ministros,Q68869954-ca1c208f-44e6-fdec-2dff-7c7aacfc2e6f
Q2454290,Prof. Tristán BAUER,Tristán Bauer,male,1959-06-22T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550593,Ministerio de Cultura,Q2454290-6524C72C-AE67-417E-86B0-CC39E5E1D7E1
Q106674728,Sr. Alexis Raúl GUERRERA,Alexis Guerrera,male,1971-02-02T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550600,Ministerio de Transporte,Q106674728-538C35FB-5594-4B38-877D-054403BFFED4
Q17635667,Sr. Juan Horacio ZABALETA,Juan Zabaleta,male,1967-04-29T00:00:00Z,11,https://mapadelestado.jefatura.gob.ar/index.php,Q108550607,Ministerio de Desarrollo Social,Q17635667-DC238605-8D9F-4C43-B001-5D6494618143
