item,itemLabel,startDate,endDate,psid
Q111493090,Guillermo Olegario Gonzalo Pereda,2021-12-15,,Q111493090-6B757C72-2493-4E90-A073-E00AB22A3A89
Q124993,Leopoldo Fortunato Galtieri,1979-12-29,1982-06-18,Q124993-D7AC6259-B856-4640-B37E-53D80A15897B
Q16301521,César Milani,2013-07-03,2015-06-24,Q16301521-33350ACE-0297-41AD-A452-5A3A0C850F6E
Q16624442,Raúl Poggi,1961,1962,Q16624442-355C6E84-BF4F-4580-8315-064EB121FDB6
Q17310378,Arturo Ossorio Arana,1957,1958,Q17310378-5C812827-66F2-47D8-8985-872860BD59A1
Q177663,Cristino Nicolaides,1982-06-18,1983-12-16,Q177663-D7DEDC7C-7603-4A47-821E-D41BC80C5146
Q20015671,Carlos Toranzo Montero,1959,1961,Q20015671-F88DEE43-BB58-42DF-9F1C-5EF79DFF14F6
Q20441940,Ricardo Luis Cundom,2015-06-24,2016-01-25,Q20441940-33374DD7-5831-41D3-A803-898C41DE0F33
Q22251998,Diego Suñer,2016-01-25,2018-02-15,Q22251998-23AF7854-74FA-4106-8CB6-8C80A3904362
Q2837468,Jorge Hugo Arguindegui,1983-12-16,1984-07-04,Q2837468-7F87DB7E-D070-4B63-9C97-1668B7D946E8
Q30539180,Ángel Solari,1950,1951-11-14,Q30539180-BAD69276-C478-400B-9D77-0C073FCC18D3
Q313996,Roberto Eduardo Viola,1978-07-31,1979-12-29,Q313996-F895A93F-0E4C-41C7-AAF0-6E4A22F9D954
Q3183868,Jorge Carcagno,1973-05-25,1973-12-19,Q3183868-2A62946A-280B-4090-BBDD-BD2AC8FF5AA8
Q345487,Alejandro Agustín Lanusse,1968-08-26,1973-05-25,Q345487-20C714EA-ABDD-4EB4-AA55-A559B84E2EA1
Q365326,Juan Carlos Onganía,1962,1965,Q365326-8F90EE58-CB0B-4433-B1D0-E70313521B94
Q4845362,Pascual Pistarini,1965,1966,Q4845362-F61DF1F7-3761-40EE-9565-D6F39E680148
Q48873003,Claudio Pasqualini,2018-01-15,2020-02-28,Q48873003-98dd2434-40f8-c02e-20d1-b2cca7ba7a08
Q538049,Martín Balza,1991-11-04,1999-12-10,Q538049-D47DDC43-BA5C-4002-BDDC-B3CE47411967
Q5482726,Carlos von der Becke,1943,1946,Q5482726-F221085A-DFEE-471A-AC8B-26FA58687377
Q5663214,Alberto Laplane,1975-05-13,1975-08-27,Q5663214-E7EA6BAB-FA91-4497-8AAF-5C51ACE9C112
Q5804954,Julio Lagos,1955,1956,Q5804954-0AAF494B-899E-4546-9CB4-761184DD29BF
Q5806251,Diego I. Mason,1946,1948,Q5806251-BF2BFAB3-F77F-46B6-80A9-2E6C14B72E09
Q5865850,Francisco Gassino,1988-12-22,1989-07-08,Q5865850-C0D3D17D-2F35-4D4F-B9CD-69655E9329C6
Q5906417,Héctor Ríos Ereñú,1985-03-04,1987-04-22,Q5906417-92329028-1C34-4006-B099-626A863C8FB2
Q5906436,Héctor Solanas Pacheco,1958,1959,Q5906436-C6359493-654D-4BE6-8DB8-B4F1E85F9DA1
Q5921295,Isidro Cáceres,1989-07-12,1990-03-21,Q5921295-2C820C68-545F-4041-A047-8DF659E70096
Q5938739,José Caridi,1987-04-22,1988-12-21,Q5938739-C7F967F7-885C-45B5-A67C-03E1E6876581
Q5947762,Juan Bautista Loza,1962,1962,Q5947762-292FB16C-55DA-45CC-AEE3-6AEE785C7C3F
Q5948397,Juan Carlos Lorio,1962,1962,Q5948397-57C2F89A-A996-4D88-B3DE-D9BA8C8B1B5A
Q5972183,Leandro Anaya,1973-12-19,1975-05-13,Q5972183-0E48EBCE-B005-458D-9184-B796A795908D
Q5982689,Luis Alberto Pozzi,2008-09-23,2013-07-03,Q5982689-2B108065-D209-49E2-A6FE-292CC711A0B5
Q6002516,Martín Bonnet,1990-03-26,1991-11-01,Q6002516-C93B87DA-FE5B-445B-A567-161157D64C0A
Q6108413,Ricardo Pianta,1984-07-05,1985-03-04,Q6108413-348C8979-0651-44C3-8411-A386CE806394
Q6109597,Roberto Bendini,2003-05-28,2008-09-19,Q6109597-0B388CE1-4D12-4B47-A992-795578FB46D1
Q6960043,Ricardo Brinzoni,1999-12-10,2003-05-28,Q6960043-9B49F5A0-524C-4C70-8C09-C9EC8CCB617C
Q739234,José Domingo Molina,1953-09-23,1955-09-23,Q739234-69A0A139-0907-41AB-A0AF-2B04E228E4E0
Q75853,Jorge Rafael Videla,1973,1975,Q75853-11392d5e-4cc9-018e-d084-273447862cde
Q86469710,Agustín Cejas,2020-02-28,2021-12-15,Q86469710-cab5c06a-4208-6845-fa54-eb40fb8f6318
Q89626554,Juan Sanguinetti,1948,1950,Q89626554-A1269C6E-625E-4323-A25B-B62DF68B499A
Q9016548,Julio Rodolfo Alsogaray,1966,1968,Q9016548-12B7BC53-7FD9-445C-9D58-692D7422AC4D
Q96624523,Alfredo Ávalos,1951-11-14,1953-09-23,Q96624523-EC6D40D6-643C-4ACA-A8E7-C863B22CE706
