@@,item,name,region,regionlabel,startdate,enddate,psid
->,Q47142712,Alejandra María Vigo,Q44759,Córdoba,2017-12-10,2021-12-10->2021-12-09,Q47142712-ED44D095-0748-4FD6-AF71-60B2D0E4D3D5
---,Q21856184,Ana Laura Martínez,Q44823,Santa Fe,2015-12-10,2017-12-13,Q21856184-FC69E6A2-C732-41A7-A4C8-C013AA3791DF
->,Q21856236,Analía Rach Quiroga,Q44757,Chaco,2015-12-10,2019-12-10->2019-12-09,Q21856236-03E6C0A9-51EE-4F81-9C59-1144BD43B53A
->,Q21856128,Araceli Ferreyra,Q44758,Corrientes,2015-12-10,2019-12-10->2019-12-09,Q21856128-D8E1FDC9-8B43-415E-9B83-38FD4EEC4715
->,Q47455151,Astrid Hummel,Q44823,Santa Fe,2017-12-18,2019-12-10->2019-12-09,Q47455151-ba32ba16-4aaa-5468-18a2-12948c117ce6
->,Q3754443,Axel Kicillof,Q1486,Ciudad de Buenos Aires,2015-12-10,2019-12-10->2019-12-09,Q3754443-8EBAAA51-30F9-48FB-8EF9-30D6F102824D
->,Q47145509,Beatriz Luisa Ávila,Q44829,Tucumán,2017-12-10,2021-12-10->2021-12-09,Q47145509-2B56D12D-E1E2-4A20-8D25-A4BDA64A4A70
---,Q111424753,Bernardo José Herrera,Q44827,Santiago del Estero,2019-04-04,2021-12-09,Q111424753-5EFF5645-6D3D-4093-94E1-259FEA18D46C
->,Q16300546,Claudia Alejandra Ledesma Abdala de Zamora,Q44827,Santiago del Estero,2017-12-10,2019-12-10->2019-12-09,Q16300546-F285E2E6-1CE5-4578-9360-B6B9945999C3
->,Q21856120,Claudio Martín Doñate,Q44802,Río Negro,2015-12-10,2019-12-10->2019-12-09,Q21856120-56E37AED-9D36-46E9-BEAF-7BF0E17ACBFA
->,Q21856174,Daniel Lipovetzky,Q44754,Buenos Aires,2015-12-10,2019-12-10->2019-12-09,Q21856174-6CF21202-1807-422D-8703-0B4C50EFB1FC
->,Q21856170,Daniel Ricardo Kroneberger,Q44795,La Pampa,2015-12-10,2021-12-10->2019-12-09,Q21856170-03158F6B-C1AF-4D04-A568-3402B8C575EA
->,Q1162679,Daniel Scioli,Q44754,Buenos Aires,2017-12-10,2020-05-13->2020-03-05,Q1162679-F37B3C39-B705-4885-8DF4-D26814ADB9D9
->,Q12164058,Eduardo Enrique de Pedro,Q44754,Buenos Aires,2015-12-10,2019-12-10->2019-12-09,Q12164058-A7334DC6-75DA-4457-87E8-4510DDA5A7B4
->,Q3048310,Eduardo Segundo Brizuela del Moral,Q44756,Catamarca,2017-12-10,2021-08-25->2021-12-09,Q3048310-04D7DF10-B334-4D22-A6F8-B2A6D4931F6B
->,Q21856045,Elva Susana Balbo,Q44797,Mendoza,2015-12-10,2018-04-04->2018-04-30,Q21856045-71ADDBFE-CB17-4D9D-B6DE-C81327376BD2
->,Q21614815,Emilio Monzó,Q44754,Buenos Aires,2015-12-10,2019-12-10->2019-12-09,Q21614815-79662B1D-9558-40D8-95D4-E0621DB2AFDF
->,Q55825598,Fernando Asencio,Q1486->Q44754,Ciudad de Buenos Aires->Buenos Aires,2018-05->2018-05-23,2019-12-10->2019-12-09,Q55825598-5F6A8648-2B08-4FFC-8EB0-1D703FEDEB17
->,Q16198916,Fernando Espinoza,Q44754,Buenos Aires,2017-12-10,2019-12-10->2019-12-11,Q16198916-8943FE6F-951F-4810-A56C-A702289586EB
->,Q47455152,Héctor Antonio Stefani,Q44832,Tierra del Fuego,2017-12-09->2017-12-10,2021-12-09,Q47455152-44d5ec7d-4527-a72e-5d30-506fbb2d82b4
->,Q17634375,Héctor Flores,Q44754,Buenos Aires,2017-12-10,2021-12-10->2021-12-09,Q17634375-08366487-2172-4BB9-AA88-284CB1474704
->,Q16582151,Jorge Ricardo Enríquez,Q1486,Ciudad de Buenos Aires,2017-12-10->2017-12-18,2021-12-09,Q16582151-F050813E-016F-4782-8AF4-24F35E911427
---,Q47142613,Jose Alejandro Garcia,Q1486,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Q47142613-78904EF4-3CDA-404A-B77F-606CB1C2EA06
->,Q47145093,Juan Benedicto Vázquez,Q44821,Santa Cruz,2017-12-10->2017-12-18,2021-12-09,Q47145093-3FCFB2FD-3421-414D-86D8-03B94D145C8F
->,Q20737416,Juan Fernando Brügge,Q44759,Córdoba,2015-12-10->2016-03-01,2019-12-09,Q20737416-7f3d7e70-4ffe-4cad-daba-a76d29675984
+++,Q6309576,Julio de Vido,Q44754,Buenos Aires,2015-12-10,2017-10-25,
->,Q21856297,Luana Volnovich,Q44754,Buenos Aires,2015-12-10,2019-12-10->2019-12-09,Q21856297-5C7BEB3D-4696-4BF9-BB93-5C02F6259EB8
->,Q21856094,Lucila María de Ponti,Q44823,Santa Fe,2015-12-10,2019-12-10->2019-12-09,Q21856094-2F63F5C8-410D-4633-AACA-196738D00F37
->,Q5982877,Luis Eugenio Basterra,Q44761,Formosa,2015-12-10,2019-12-10->2019-12-09,Q5982877-05786558-3FD9-4CD7-AF82-BA22FCB06370
->,Q6553522,Martín Lousteau,Q1486,Ciudad de Buenos Aires,2017-12-10,2019-12-10->2019-12-09,Q6553522-4EF3984F-0FB7-43A0-8AB8-9BCB22AF6B78
