item,itemLabel,startDate,endDate,psid
Q1043087,Carlos María Moyano,1884,1887,Q1043087-aaca3759-4e2d-407e-c642-7a80452b2f55
Q170899,Néstor Kirchner,1991-12-10,2003-05-24,Q170899-74cae8a7-4b19-8cd9-e39b-64c93ba15089
Q17612317,Ricardo del Val,1987-12-10,1990-07-06,Q17612317-BD27E95C-F85A-4380-A126-687A87535B96
Q3418686,Ramón Lista,1887,1892,Q3418686-7cd7e600-4ca5-e9a4-09e3-664109f687e2
Q4198981,Héctor Icazuriaga,2003-05-24,2003-12-10,Q4198981-C30A5D40-934C-4B34-8BCA-66BB63947FDC
Q440580,Alicia Kirchner,2015-12-10,,Q440580-5AA05CAB-181E-4543-B459-CDC761567D7E
Q4838621,Daniel Peralta,2007-05-10,2015-12-10,Q4838621-0EDE5C6C-6964-4840-8AD0-0E66455422E1
Q5042622,Carlos Sancho,2006-03-30,2007-05-10,Q5042622-C81B2B01-B005-44C9-B7AF-BE2BB8770E25
Q5817609,Edelmiro Mayer,1892,1897,Q5817609-c3111208-41a3-cf83-6b52-fbaa3fc0eb9f
Q715414,Arturo Puricelli,1983-12-10,1987-12-10,Q715414-37934E1A-F15E-409A-9C58-11B663814274
Q7454170,Sergio Acevedo,2003-12-10,2006-03-30,Q7454170-7F0720E1-A56E-4BBA-A1A4-BF0FD2DC216D
