position,title
Q24703451,First Lady
Q62156730,Vice-Governor of Buenos Aires province
Q110364891,Vice-Governor of San Luis province
Q111976668,Vice-Governor of Tierra del Fuego province
Q111494069,Vice-Governor of Tucumán province
Q89828171,Deputy Chief of the Army General Staff
Q106511339,ambassador to Australia
Q107568753,ambassador to Belgium
Q106646128,ambassador to Bolivia
Q87990700,ambassador to Brazil
Q40338134,ambassador to Canada
Q40543544,ambassador to Chile
Q41715111,ambassador to China
Q108735685,ambassador to Colombia
Q107493352,ambassador to Cuba
Q43197012,ambassador to Dominica
Q112145887,ambassador to Ecuador
Q43080712,ambassador to the European Union
Q85666438,ambassador to France
Q112980026,ambassador to Germany
Q106834426,ambassador to Guatemala
Q43196974,ambassador to Guyana
Q108013912,ambassador to Hungary
Q96482982,ambassador to Ireland
Q110636014,ambassador to Israel
Q107407195,ambassador to the Netherlands
Q112146003,ambassador to New Zealand
Q106646343,ambassador to Paraguay
Q110721681,ambassador to Peru
Q106859890,ambassador to Portugal
Q43259664,ambassador to Spain
Q112980028,ambassador to Switzerland
Q85667290,ambassador to the United Kingdom
Q87989436,ambassador to the United States
Q30158512,ambassador to Uruguay
Q85668584,ambassador to the Holy See
Q106902574,ambassador to Venezuela
Q112979778,Permanent Representative to the United Nations
